id,last_name,marital_status,gender,annual_income, industry ,zip_code,age_at_issue,member_type,add_members,annual_fee,payment_type,status,start_month,start_day,start_year,end_month,end_day,end_year
A02601,Barrett,Married,M,115613,Consumer Discretionary,80202,28,Gold,3,9000,QUARTERLY,CANCELLED,12,31,2009,2,26,2012
A00128,Boyd,Married,M,102874,Consumer Staples,80202,43,Platinum,2,15000,ANNUAL,CANCELLED,12,31,2007,2,26,2010
A00102,Hudson,Married,M,87772,Utilities,80202,45,Silver,1,7000,ANNUAL,CANCELLED,12,31,2007,2,26,2009
A02479,Green,Single,M,81574,Consumer Staples,80202,26,Silver,0,7000,ANNUAL,CANCELLED,12,24,2009,2,21,2012
A02434,Parker,Married,F,90410,Real Estate,80202,62,Bronze,1,5000,SEMI-ANNUAL,CANCELLED,12,9,2009,2,7,2012
A01133,Woods,Married,F,48462,Energy,80202,36,Gold,3,9000,ANNUAL,CANCELLED,12,29,2008,2,26,2010
A02148,Page,Married,M,90171,Consumer Staples,80202,49,Silver,3,7000,ANNUAL,CANCELLED,10,20,2009,12,19,2012
A04898,Gonzalez,Married,M,111065,Health Care,80202,35,Platinum,1,15000,ANNUAL,CANCELLED,10,11,2010,11,8,2012
A04686,Jacobs,Married,M,114428,Consumer Discretionary,80202,49,Silver,1,7000,ANNUAL,CANCELLED,9,9,2010,11,8,2012
A06081,Tyler,Single,M,69769,Telecommunication Services,80202,22,Silver,0,7000,ANNUAL,CANCELLED,11,11,2011,1,9,2013
A04755,Adkins,Married,M,103336,Telecommunication Services,80202,50,Silver,2,7000,ANNUAL,CANCELLED,8,31,2010,10,27,2012
A00936,Brock,Single,M,115486,Health Care,80202,25,Gold,0,9000,MONTHLY,CANCELLED,11,5,2008,3,6,2009
A04326,Rowe,Married,M,103926,Consumer Staples,80202,55,Bronze,3,5000,ANNUAL,CANCELLED,7,30,2010,9,26,2012
A04236,Cohen,Married,M,104903,Materials,80202,44,Platinum,2,15000,ANNUAL,CANCELLED,7,28,2010,9,25,2012
A02151,Maxwell,Single,M,64316,Health Care,80202,28,Gold,0,9000,MONTHLY,CANCELLED,9,30,2009,1,27,2010
